Id,Label,timeset,bipartite,title,subjects,Degree,Weighted Degree,modularity_class,clustering,triangles,componentnumber,eigencentrality,pageranks,Authority,Hub
9580,24128,,1,The Merchant of Venice,None,1208,92.605205,1,0.400144,291716,0,0.625768,0.000158,0.034461,0.034461
9584,6656,,1,The Divine Comedy,None,1016,73.140599,2,0.457133,235707,0,0.557649,0.000114,0.030732,0.030732
9592,25698,,1,An Inquiry into the Nature and Causes of the Wealth of Nations,None,274,28.588462,2,0.670651,25083,0,0.179431,0.000044,0.009878,0.009878
9593,376514,,1,The Manchurian Candidate,None,314,34.213636,1,0.675342,33187,0,0.201662,0.000077,0.0111,0.0111
9594,8579016,,1,"The Power (The Secret, #2)",None,135,12.006585,3,0.628966,5689,0,0.070673,0.000037,0.003843,0.003843
9597,39045,,1,"I Don't Know How She Does It (Kate Reddy, #1)",None,256,26.010839,0,0.751195,24519,0,0.184103,0.000076,0.010151,0.010151
9598,6604712,,1,Eating Animals,None,577,36.860045,0,0.578615,96152,0,0.357756,0.000073,0.019714,0.019714
9599,6834410,,1,The Imperfectionists,None,427,41.226536,0,0.656936,59749,0,0.282456,0.000073,0.01558,0.01558
9609,76909,,1,"Last Bus to Woodstock (Inspector Morse, #1)",None,240,26.172727,1,0.72249,20721,0,0.158694,0.00005,0.008743,0.008743
9616,9595,,1,"Slapstick, or Lonesome No More!",None,512,45.807701,2,0.609016,79669,0,0.324335,0.000074,0.017884,0.017884
9623,15730101,,1,The Call of Cthulhu,None,293,23.543958,2,0.679017,29047,0,0.196212,0.000054,0.010805,0.010805
9624,11437,,1,Where I'm Calling From: New and Selected Stories,None,266,32.1,0,0.642077,22630,0,0.169185,0.000052,0.009321,0.009321
9627,25179,,1,Blankets,None,634,34.07069,0,0.542382,108835,0,0.380659,0.000084,0.020971,0.020971
9632,126583,,1,Appointment in Samarra,None,399,42.232501,2,0.634073,50346,0,0.256335,0.000065,0.014129,0.014129
9634,1431,,1,Veronika Decides to Die,None,942,59.63231,4,0.415919,184340,0,0.492749,0.000109,0.027072,0.027072
9636,25019,,1,"The Professor and the Madman: A Tale of Murder, Insanity and the Making of the Oxford English Dictionary",None,909,61.211929,3,0.461392,190410,0,0.501357,0.000098,0.027599,0.027599
9639,18625064,,1,Autobiography,None,145,17.318182,0,0.716667,7482,0,0.097195,0.000046,0.005351,0.005351
9642,14280,,1,Runaway,None,328,36.172727,0,0.674498,36172,0,0.216204,0.000072,0.011916,0.011916
9644,40604846,,1,Nothing to Envy: Ordinary Lives in North Korea,None,249,25.660606,3,0.654813,20218,0,0.164168,0.000068,0.009015,0.009015
9652,41913,,1,The Children of Men,None,687,52.866206,0,0.542295,127787,0,0.411108,0.000101,0.022657,0.022657
9654,86147,,1,"Bright Lights, Big City",None,575,54.32015,2,0.563472,92987,0,0.347473,0.000078,0.019148,0.019148
9656,49176,,1,Games People Play,None,377,35.809923,3,0.559033,39622,0,0.223177,0.000056,0.012245,0.012245
9661,36086,,1,"The Ghost Map. The story of London's most terrifying epidemic&#8212;and how it changed science, cities, and the modern world",None,288,25.472478,3,0.594149,24555,0,0.175272,0.00005,0.009626,0.009626
9665,929782,,1,Martin Eden,None,405,50.308375,2,0.672729,55036,0,0.262835,0.000076,0.01449,0.01449
9668,101299,,1,The Reader,None,1225,84.941344,0,0.403163,302251,0,0.636664,0.000169,0.035069,0.035069
