Id,Label,timeset,bipartite,title,subjects,Degree,Weighted Degree,modularity_class,clustering,triangles,componentnumber,eigencentrality,pageranks
6783,7726143,,1,"Origins (The Vampire Diaries: Stefan's Diaries, #1)",None,713,48.024188,2,0.465654,118196,0,0.326332,0.000072
6789,569346,,1,"Full Moon o Sagashite, Vol. 1",None,369,34.05655,4,0.545039,37006,0,0.180735,0.000054
6798,27266,,1,"Glass Houses (The Morganville Vampires, #1)",None,1030,92.861748,2,0.446647,236694,0,0.472101,0.000108
6801,3099787,,1,"Night World, No. 1 (Night World, #1-3)",None,884,79.860139,2,0.491978,192012,0,0.42699,0.000096
6803,10757817,,1,"You Have to Stop This (Secret, #5)",None,217,38.3,1,0.805982,18889,0,0.121302,0.000064
6805,9680718,,1,"Half-Blood (Covenant, #1)",None,1062,102.209322,5,0.452455,254909,0,0.489042,0.000107
6806,1087204,,1,"Ouran High School Host Club, Vol. 1 (Ouran High School Host Club, #1)",None,800,63.088919,4,0.422068,134893,0,0.351432,0.000089
6813,6609765,,1,Out of My Mind,None,862,61.014699,1,0.436136,161846,0,0.383173,0.000106
6815,517344,,1,"Clementine (Clementine, #1)",None,415,38.786704,1,0.604808,51956,0,0.196333,0.000065
6821,11735983,,1,"Insurgent (Divergent, #2)",None,2635,472.28983,1,0.230901,801295,0,0.934503,0.000762
6823,9593911,,1,"Pandemonium (Delirium, #2)",None,1650,146.457796,3,0.346107,470852,0,0.69692,0.000168
6824,38185346,,1,Merci Su&#225;rez Changes Gears,None,135,15.5,1,0.644002,5825,0,0.065975,0.000043
6826,44782214,,1,"The Culling Trials 2 (Shadowspell Academy, #2)",None,113,14.8,3,0.518015,3278,0,0.045777,0.000037
6827,15731779,,1,"Entwined with You (Crossfire, #3)",None,1166,111.049583,5,0.404891,275000,0,0.508447,0.000138
6834,29923707,,1,"One Dark Throne (Three Dark Crowns, #2)",None,386,37.647661,3,0.637144,47343,0,0.20695,0.000065
6835,23309634,,1,Before We Were Strangers,None,427,51.6,3,0.589361,53603,0,0.215483,0.000075
6841,37586,,1,The Lost Colony (Artemis Fowl #5),None,924,76.295587,1,0.43908,187235,0,0.409698,0.000127
6847,7285966,,1,"I Survived the Sinking of the Titanic, 1912 (I Survived, #1)",None,217,27.545455,1,0.639742,14993,0,0.10094,0.000042
6850,31538647,,1,"Hogwarts: An Incomplete and Unreliable Guide (Pottermore Presents, #3)",None,303,29.758025,3,0.594781,27213,0,0.158774,0.000055
6852,7930335,,1,"Beautiful Redemption (Caster Chronicles, #4)",None,910,67.511556,2,0.482467,199546,0,0.445567,0.000091
6856,7129588,,1,Forget You,None,512,56.431818,0,0.572736,74923,0,0.265688,0.00007
6858,28186,,1,"The Sea of Monsters (Percy Jackson and the Olympians, #2)",None,2225,312.602329,1,0.262437,649322,0,0.828765,0.000414
6860,7171876,,1,"Fallout (Crank, #3)",None,325,31.651939,1,0.621406,32717,0,0.172591,0.000054
6865,199782,,1,"Queen of Babble in the Big City (Queen of Babble, #2)",None,304,31.22366,0,0.627844,28916,0,0.160723,0.000067
6877,15863832,,1,"Angelfall (Penryn &#38; the End of Days, #1)",None,1001,76.077822,3,0.445794,223120,0,0.468969,0.0001
6878,18528454,,1,"A Beautiful Wedding (Beautiful, #2.5)",None,680,61.460864,5,0.488149,112694,0,0.30991,0.000074
6882,248704,,1,It's Kind of a Funny Story,None,1096,77.255313,1,0.420853,252537,0,0.491614,0.000135
6883,84135,,1,Sins of the Night (Dark-Hunter #7),None,621,75.872518,2,0.509288,98043,0,0.275261,0.000087
6885,29236380,,1,Girl in Pieces,None,268,25.447419,3,0.699927,25042,0,0.151776,0.000047
6892,30025336,,1,All the Crooked Saints,None,371,34.558766,3,0.515568,35386,0,0.165333,0.000078
6893,19542841,,1,More Happy Than Not,None,629,63.023532,3,0.577613,114082,0,0.322478,0.000083
6902,23272028,,1,"A Study in Charlotte (Charlotte Holmes, #1)",None,675,66.321793,3,0.549599,125020,0,0.339531,0.000092
6905,44652,,1,"Fablehaven (Fablehaven, #1)",None,887,68.155461,1,0.460405,180912,0,0.404694,0.000109
6906,13539044,,1,The Silver Linings Playbook,None,871,50.598532,3,0.457719,173423,0,0.412224,0.000124
6909,7735333,,1,"Matched (Matched, #1)",None,2277,297.861048,1,0.265313,687487,0,0.857999,0.000354
6914,1854354,,1,"Fruits Basket, Vol. 21",None,234,43.4,4,0.699094,19058,0,0.124098,0.000062
6920,43877254,,1,"The Play (Briar U, #3)",None,214,26,5,0.56983,12987,0,0.094879,0.00004
6923,27252717,,1,"The Score (Off-Campus, #3)",None,748,68.619343,5,0.502667,140434,0,0.341601,0.000079
6924,6249757,,1,"The Fourth Apprentice (Warriors: Omen of the Stars, #1)",None,353,60.3,1,0.762394,47366,0,0.203365,0.000073
6929,1388813,,1,"Midnight Awakening (Midnight Breed, #3)",None,509,54.83766,2,0.566519,73243,0,0.228053,0.000067
6930,22923997,,1,"Overruled (The Legal Briefs, #1)",None,250,28.2,5,0.583197,18152,0,0.106827,0.00005
6934,17314410,,1,"Beauty from Surrender (Beauty, #2)",None,447,54.487975,5,0.604348,60242,0,0.18368,0.000065
6942,891813,,1,"Love Only Once (Malory-Anderson Family, #1)",None,256,35.472727,0,0.594669,19410,0,0.110179,0.000058
6953,397466,,1,"Dark Angel (Casteel, #2)",None,232,29.263836,0,0.702829,18833,0,0.129279,0.000072
6955,22918050,,1,"The Heir (The Selection, #4)",None,1597,152.728772,3,0.344001,438397,0,0.670418,0.000182
