,count_0,count_1,count_2,count_3,count_4,count_all
Good and evil,0.157895,0.210526,0.070175,0.157895,0.403509,57.000000
Juvenile Fiction,0.000000,0.157895,0.000000,0.087719,0.754386,57.000000
Detective and mystery stories,0.392857,0.000000,0.232143,0.303571,0.071429,56.000000
Family,0.000000,0.053571,0.428571,0.375000,0.142857,56.000000
Orphans,0.000000,0.036364,0.072727,0.290909,0.600000,55.000000
Teenage girls,0.018519,0.000000,0.277778,0.166667,0.537037,54.000000
Women,0.056604,0.037736,0.490566,0.396226,0.018868,53.000000
Death,0.037736,0.113208,0.320755,0.226415,0.301887,53.000000
Romance,0.000000,0.037736,0.150943,0.226415,0.584906,53.000000
Juvenile literature,0.000000,0.038462,0.019231,0.769231,0.173077,52.000000
Brothers and sisters,0.000000,0.019231,0.192308,0.173077,0.615385,52.000000
Ficción juvenil,0.000000,0.040000,0.020000,0.720000,0.220000,50.000000
Murder,0.300000,0.020000,0.420000,0.180000,0.080000,50.000000
London,0.086957,0.130435,0.130435,0.456522,0.195652,46.000000
California,0.282609,0.000000,0.347826,0.282609,0.086957,46.000000
New York,0.200000,0.000000,0.400000,0.288889,0.111111,45.000000
Psychological fiction,0.159091,0.022727,0.318182,0.431818,0.068182,44.000000
High schools,0.000000,0.000000,0.022727,0.022727,0.954545,44.000000
Large type books,0.204545,0.045455,0.340909,0.204545,0.204545,44.000000
Thriller,0.627907,0.023256,0.116279,0.093023,0.139535,43.000000
Domestic fiction,0.000000,0.000000,0.604651,0.372093,0.023256,43.000000
Drama,0.000000,0.000000,0.046512,0.906977,0.046512,43.000000
Humorous stories,0.000000,0.023810,0.166667,0.428571,0.380952,42.000000
Great Britain,0.071429,0.071429,0.261905,0.523810,0.071429,42.000000
Family life,0.024390,0.000000,0.170732,0.292683,0.512195,41.000000
Historical fiction,0.073171,0.000000,0.463415,0.292683,0.170732,41.000000
Wizards,0.000000,0.750000,0.000000,0.025000,0.225000,40.000000
France,0.125000,0.000000,0.125000,0.675000,0.075000,40.000000
Maine,0.800000,0.000000,0.100000,0.050000,0.050000,40.000000
History and criticism,0.025641,0.051282,0.000000,0.923077,0.000000,39.000000
Horror tales,0.487179,0.025641,0.025641,0.410256,0.051282,39.000000
Survival,0.000000,0.051282,0.128205,0.230769,0.589744,39.000000
