Id,Label,timeset,bipartite,title,subjects,modularity_class,Degree,componentnumber,Weighted Degree,eigencentrality,clustering,triangles,Authority,Hub,pageranks,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
2141,26722820,,1,The Curious Charms of Arthur Pepper,None,0,165,0,4.631904,0.197506,0.615299,8325,0.014751,0.014751,0.000505,3,0.5292,0.555858,57.146348
2148,1736739,,1,"Olive Kitteridge (Olive Kitteridge, #1)",None,1,495,0,11.329723,0.516103,0.451593,55214,0.038459,0.038459,0.001115,3,0.601147,0.668483,861.270912
2156,29983711,,1,Pachinko,None,4,447,0,10.631471,0.474174,0.474865,47335,0.035346,0.035346,0.001047,2,0.589795,0.652248,691.446286
2163,30007916,,1,A Gentleman in Moscow,None,3,288,0,6.566459,0.28207,0.441613,18251,0.020829,0.020829,0.00073,2,0.554381,0.598093,621.711577
2167,18114068,,1,Redeployment,None,4,132,0,3.32068,0.158272,0.708651,6127,0.011809,0.011809,0.000398,3,0.522048,0.544051,26.909693
2170,64481,,1,A Northern Light,None,1,161,0,3.098635,0.201011,0.685792,8833,0.014974,0.014974,0.000382,3,0.528248,0.554382,43.823146
2174,28374062,,1,"The Kept Woman (Will Trent, #8)",None,0,249,0,7.03036,0.266917,0.537861,16607,0.019858,0.019858,0.000716,3,0.545725,0.584469,239.208551
2176,11301989,,1,The Hunger Games Trilogy,None,1,68,0,1.541301,0.062232,0.460053,1048,0.004573,0.004573,0.000289,3,0.511142,0.522707,60.566752
2178,39280847,,1,"The Corner Shop in Cockleberry Bay (Cockleberry Bay, #1)",None,3,28,0,1.19115,0.009553,0.470899,178,0.000644,0.000644,0.000254,3,0.473854,0.487965,15.329966
2181,35061545,,1,Little Fires Everywhere,None,3,156,0,4.516439,0.169025,0.538462,6510,0.012541,0.012541,0.000593,3,0.527868,0.55302,155.514394
2183,34927828,,1,The Great Alone,None,0,417,0,10.188751,0.453532,0.479789,41615,0.033784,0.033784,0.000997,2,0.582771,0.64203,669.405688
2184,15769088,,1,Pride and Prejudice,None,3,56,0,1.27905,0.049851,0.498701,768,0.003642,0.003642,0.000271,3,0.509015,0.518619,87.486857
2185,31131524,,1,"Angel (DCI Ryan Mysteries, #4)",None,3,62,0,2.534661,0.043005,0.422528,799,0.003103,0.003103,0.0004,3,0.510431,0.52089,80.541999
2187,33606119,,1,Why I'm No Longer Talking to White People About Race,None,4,106,0,3.009465,0.11794,0.620126,3451,0.008797,0.008797,0.000379,3,0.514546,0.533492,27.970091
